"SeriousDlqin2yrs";"RevolvingUtilizationOfUnsecuredLines";"Age";"NumberOfTime30.59DaysPastDueNotWorse";"DebtRatio.";"MonthlyIncome";"NumberOfOpenCreditLinesAndLoans";"NumberOfTimes90DaysLate";"NumberRealEstateLoansOrLines";"NumberOfTimes60.89DaysPastDueNotWorse";"NumberOfDependents"
"120067";0;0.064248748;77;0;0.322358794;6833;13;0;1;0;0
"103808";1;0.930389718;61;4;0.186172745;10500;13;0;0;0;2
"47531";0;0.073132677;55;0;0.333081457;6616;6;0;1;0;0
"76973";0;0.844075646;60;0;0.604840831;3800;9;0;2;0;1
"147585";0;0.004834524;30;0;0.697101449;2069;10;0;1;0;2
"107131";0;0.136372725;72;0;0.003703018;5400;3;0;0;0;0
"135958";0;0.150151627;63;1;0.046590682;5000;5;0;0;0;1
"101339";0;0.620064135;57;1;0.106528831;45367;12;0;1;0;1
"85226";0;0.201452628;49;0;0.450437318;8917;19;0;2;0;2
"27192";0;0.138763894;57;1;0.13865901;5920;13;0;0;0;1
"66094";0;0.613077385;26;0;0.113904877;3300;4;0;0;0;1
"49359";0;0.622465419;69;0;0.098557884;12550;6;0;1;0;0
"5193";0;0.441019964;51;1;0.512074396;6666;16;0;2;0;2
"92006";0;0.109375805;50;0;0.092482215;5200;5;0;0;0;1
"90710";0;0.012244794;79;0;0.001562354;32002;17;0;0;0;0
"115800";0;0.291844649;68;1;0.445793458;7000;9;0;2;0;1
"128670";0;0.053589282;42;1;0.205948513;4000;6;0;2;0;1
"122420";0;0.315307968;47;2;0.446546053;6079;7;0;1;0;1
"119172";0;0.073579622;58;0;0.256403232;7300;17;0;2;0;0
"132983";1;0.943009498;38;1;0.53294091;8833;10;0;1;0;2
"30038";0;0.006467947;61;0;0.124521637;3396;8;0;1;0;0
"4149";0;0.310698673;56;0;0.946982842;5186;11;0;2;0;1
"4929";0;0.021356761;60;0;0.344487402;7500;10;0;1;0;1
"82527";0;0.967583399;56;0;0.384477658;12845;11;0;1;0;4
"131641";0;0.119539465;55;0;0.347124825;12833;22;0;3;0;1
"50984";0;0.416496918;45;0;0.144329897;6595;3;0;0;0;1
"120518";0;0.006713327;53;0;0.034236805;700;2;0;0;0;0
"79208";0;0.36761852;38;0;0.138893797;5658;10;0;0;0;0
"15770";0;0.382510681;31;0;0.081610207;4545;7;0;0;0;0
"101537";0;0.852022766;55;0;0.08329367;2100;3;0;0;0;0
"126691";0;0.105495;46;0;0.5326571;8083;11;0;1;0;0
"77328";0;0.004841596;51;1;30;0;3;0;0;0;2
"51376";0;0.9999999;35;0;0.250999862;7250;5;0;1;0;0
"28472";0;0.132386819;53;0;0.064898378;40000;11;0;2;0;1
"96283";0;0;38;0;0.184890755;20000;12;0;1;0;1
"94260";0;0.149626862;62;0;0.486756709;5700;10;0;2;0;0
"2245";0;0.184182617;73;0;0.355906118;5197;6;0;1;0;0
"97743";0;0.269736077;50;0;0.976809276;2500;9;0;1;0;2
"146628";1;0.9999999;40;1;1571;1;4;2;2;0;1
"4735";0;0.114046629;76;0;0.297945946;4624;8;0;1;0;0
"127127";0;0.02269773;80;0;0.045460334;7852;3;0;0;0;0
"2468";0;0.002197706;81;0;0.078437404;3250;6;0;0;0;1
"67291";0;0.990646442;54;0;0.231864918;10600;9;0;1;1;1
"51064";0;0.000716045;76;0;0.000268649;11166;9;0;0;0;0
"86922";0;0.180512779;56;1;0.063349725;3456;8;0;0;0;1
"42376";0;0.061113895;61;0;0.225534673;13886;9;0;2;0;0
"16912";0;0.002188239;62;0;0.279308439;12666;14;0;2;0;0
"102042";0;0.972816046;58;0;0.734433765;4785;9;0;1;0;2
"62436";1;0.988712349;30;0;0.145742832;4603;3;0;0;0;1
"114121";0;0.254713696;28;0;0.564079258;5500;7;0;1;0;1
"21521";0;0.410117701;54;0;0.301733333;7499;11;0;1;0;0
"56079";0;0;63;0;0.004124871;10666;3;0;0;0;3
"127113";0;0.239611196;41;0;3.020979021;1000;12;0;2;0;0
"134349";0;0.011369893;67;0;0.199676201;1852;10;0;2;0;1
"66351";0;0.885454854;68;0;0.594054383;9855;17;0;1;0;0
"6410";1;0.958027981;29;3;0.26691103;3000;8;0;0;2;0
"22368";0;0;52;0;0.014778325;3450;2;0;0;0;1
"146851";0;0;57;0;0.378303426;6129;6;0;1;0;1
"111446";0;0.884171666;59;0;0.459631728;1411;7;0;0;0;1
"68998";0;0.030665737;56;0;0.18010648;7700;4;0;1;0;0
"25396";0;0.9999999;43;0;0.263909068;11700;10;0;2;0;2
"134724";0;0.156737838;80;0;0.390432099;647;9;0;0;0;0
"88835";0;0;61;0;0;1250;3;0;0;0;0
"4770";1;0.799291581;72;0;1.159466667;3749;12;0;2;0;0
"73057";0;0.230218209;66;0;0.70003529;8500;29;0;2;0;0
"44335";0;0.229834332;46;0;0.378684545;8650;14;0;2;0;2
"40858";0;0.178768146;42;0;0.551655868;5555;13;0;1;0;1
"97257";1;1.459459459;46;3;0.021771548;3352;3;3;0;1;2
"33195";0;0.074342588;75;2;0.346459711;10436;8;0;4;0;0
"141804";0;0.104016535;42;0;0.437386097;3840;8;0;1;0;0
"91272";0;0.039203282;62;0;0.047567568;10174;7;0;1;0;2
"133141";0;0;37;0;0.219973174;8200;17;0;2;0;1
"23783";0;0.99000238;45;0;0.511338617;9083;8;1;1;0;3
"98307";0;0.652796604;58;0;0.763210511;3500;12;0;0;0;0
"116771";0;0.9999999;48;0;0.191954834;2833;2;1;0;2;0
"101270";0;0;66;0;0.109452073;7500;10;0;0;0;0
"63890";1;0.717607973;80;1;0.510757717;1068;6;0;0;0;0
"63249";0;0.311487882;53;1;1.498929336;1400;7;0;1;1;0
"45630";0;0.692126094;32;1;518;0;5;1;0;1;0
"89321";0;0.282792278;44;1;0.269591301;2666;5;0;0;0;1
"27208";0;0.000999667;29;0;0.121964097;3787;2;0;0;0;2
"104963";0;0.500105138;76;0;0.715809118;3750;16;0;2;0;1
"95454";0;0.264303466;39;1;0.73707429;5666;9;0;3;0;1
"1040";0;0.391214634;39;1;0.287181335;11100;8;0;2;0;2
"137006";0;0.186302627;60;0;0.47471416;4547;6;0;2;0;1
"17380";0;0.084084033;65;0;0.111320964;9000;6;0;0;0;1
"28753";0;0.011947794;37;0;0.301730921;5083;11;0;1;0;1
"4990";0;0.331633367;57;0;0.526667362;9580;9;0;1;0;3
"106511";0;0.586124238;42;0;0.304364545;5200;17;0;0;0;0
"21656";0;0.626246442;41;0;0.952004682;3416;18;0;1;0;1
"48415";0;0.9999999;40;0;0.020744814;4000;5;2;0;1;1
"105713";0;0.029138484;73;1;0.013525305;4583;11;0;0;0;0
"47147";0;0.663526808;44;0;0.351641347;9412;13;0;1;0;3
"4017";0;0.000103969;58;0;0.40209965;6000;16;0;2;0;1
"102025";0;0.514465018;66;0;1.125916056;1500;9;0;1;0;0
"3175";0;0.32345951;53;0;0.598743097;5250;9;0;2;0;3
"89206";0;0.022941745;59;0;0.49861547;5416;40;0;1;0;0
"29461";0;0.356130914;57;0;0.458104492;7100;9;0;2;0;0
"113548";0;0.318173401;48;0;0.081935291;6675;3;0;0;0;0
"72672";0;0;46;0;0.289005659;7421;6;0;2;0;3
"144361";0;0.310380533;62;0;0.663767247;3333;13;0;2;0;0
"66597";0;0.444171918;43;0;0.445425762;6000;9;0;1;1;3
"60848";0;0.94101765;42;0;0.446924553;9900;6;0;0;0;1
"109619";0;0.9999999;24;0;0;3231;0;0;0;0;0
"124776";0;0.45606057;47;0;0.379164067;8014;13;0;2;0;0
"30214";1;0.9999999;51;0;0.145141196;4815;2;0;0;0;0
"38229";0;0.499186569;52;0;0.41030467;8500;11;0;2;0;1
"17995";1;0.771544784;51;1;0.344646714;3240;6;0;0;0;0
"80487";0;0.001737491;69;0;0.000588166;8500;6;0;0;0;0
"11265";0;0.9999999;52;0;0.289604452;5030;4;0;1;0;0
"22246";0;0.029477172;65;0;0.270339732;12450;5;0;1;0;1
"49311";0;0;37;3;0.347937544;4290;6;0;1;0;0
"113492";0;0.058220355;41;0;0.289362757;8065;9;0;1;0;2
"149758";0;0.258491642;76;0;0.363506517;5600;14;0;1;0;0
"62563";0;0.9999999;58;0;0.540072447;8833;5;0;2;0;1
"115222";0;0.330378608;58;0;0.46918742;5500;19;0;2;0;1
"104524";0;0.778584392;57;0;0.00979804;5000;2;1;0;0;1
"28410";0;0.334109238;47;0;0.418742406;6583;10;0;2;0;4
"54640";0;0.126793752;76;0;0.041227394;11666;6;0;1;0;1
"69269";0;0.043344805;71;0;0.003357438;3871;3;0;0;0;0
"40531";0;0.296966744;71;0;0.543364159;4000;14;0;1;0;0
"136112";0;0;69;0;0.440853049;6001;6;0;2;0;1
"102612";0;0;56;0;0.07764779;9658;5;0;0;0;2
"63232";0;0;49;0;0.10568409;3500;3;0;0;0;1
"133931";0;0.350792557;73;0;0.384598604;4583;11;0;1;0;0
"11185";0;0.623723819;35;0;0.534225504;6500;9;0;3;0;1
"85897";0;0.076140579;64;0;0.414347715;7833;12;0;1;0;0
"60895";0;0.351391095;32;0;0.21990172;1627;6;1;0;0;0
"146578";0;0.316967356;60;0;0.339900029;3400;7;0;1;0;0
"91710";0;0.780035478;46;0;0.098165472;8230;7;0;0;0;5
"2042";0;0.121227307;34;0;0.389911384;4400;7;0;1;0;0
"49516";0;0.607988762;45;0;0.341243917;15000;16;0;1;0;2
"126993";0;0.205711046;39;0;0.331749332;10100;4;0;1;0;1
"24965";1;0.9999999;58;0;0.023353573;2140;1;0;0;0;0
"109714";0;0.012107441;70;0;0.007768876;4118;6;0;0;0;0
"101049";0;0.478436179;61;0;0.119310531;3712;4;0;0;0;0
"33957";0;0.9999999;60;0;0.181758958;1534;3;0;0;0;0
"19030";1;0.450523697;50;0;0.230292294;5644;17;0;0;0;0
"137864";0;0.020546695;48;0;0.791841632;3333;5;0;1;0;0
"125206";0;0.27728914;66;0;0.946109921;2801;4;0;1;0;1
"56844";0;0.864174742;57;1;0.440663176;4583;8;1;1;0;0
"53203";1;0.589522356;45;0;0.813575526;4183;6;0;2;0;1
"11344";0;0.035492387;81;0;0.206376414;5833;5;0;1;0;0
"108913";0;0.092914516;69;0;0.646316852;9909;11;0;2;0;0
"79757";0;0.002589743;73;0;0.082700759;5005;7;0;1;0;1
"63133";0;0.971929064;37;0;0.587934674;9000;19;0;2;0;4
"52243";0;0.9999999;27;0;0.013885032;3600;2;2;0;0;0
"87208";0;0.151394074;50;0;0.359487119;8500;13;0;2;0;2
"60152";0;0.070316632;68;0;0.050197875;4800;17;0;0;0;4
"102412";0;0;48;0;0.574856046;4167;13;0;1;0;1
"62962";0;0.137431284;41;1;0.292505205;8645;7;1;2;0;2
"61805";0;0.046821147;63;0;0.279591521;6462;18;0;2;0;1
"66468";0;0;46;0;0.276541516;10200;9;0;3;0;2
"45614";0;0.838258087;27;0;0.393114936;1800;3;0;0;1;1
"99573";0;1.002249438;43;0;0.254698121;2500;4;0;0;0;4
"71173";0;0.762682177;63;0;0.671814464;18583;31;0;3;0;0
"113770";0;0.037303267;42;0;0.23340985;9583;8;0;2;0;1
"143696";0;0.211915963;42;1;0.368084255;7500;9;0;1;0;1
"33495";0;0.726072744;48;0;0.451581028;7083;11;0;2;0;1
"6240";0;0;70;0;0.304650897;8750;7;0;1;0;0
"101889";0;0.581517801;52;0;0.107438017;3750;9;0;0;0;0
"96771";0;0.45558034;59;0;0.035792841;5000;3;0;0;0;0
"114376";0;0.077118458;30;0;0.413566987;8844;16;0;1;0;2
"121562";0;1.26984127;68;1;0.66347848;3972;7;0;1;0;0
"100988";0;0.371810255;51;0;0.878635908;2990;7;0;2;0;0
"80139";0;0.012604505;69;1;0.083273151;18000;12;0;1;0;1
"706";0;0.046747539;60;0;1.012368584;3233;13;0;2;0;0
"119324";0;0.222814765;41;0;0.172318973;2181;4;0;0;0;0
"95232";0;0.069895774;65;0;0.507199177;5833;21;0;2;0;0
"148305";0;0.10891952;54;0;0.008727183;16270;6;0;0;0;0
"63715";0;0.9999999;81;0;0.075373134;6699;7;0;0;0;0
"21560";0;0.328235951;50;1;0.528994728;5500;9;0;2;0;0
"119108";1;0.990643525;45;1;0.24838013;4166;3;2;0;1;0
"26378";0;0.206145917;46;0;0.569701198;8600;4;0;2;0;2
"1749";0;0.006796192;77;0;0.41393079;2253;13;0;1;0;0
"42574";0;0.197587712;34;1;0.284868319;6416;10;0;1;0;1
"74819";0;0.014725934;40;0;0.001211754;3300;2;0;0;0;0
"123817";0;0.009829445;58;0;0.732394366;2200;7;0;1;0;0
"53173";0;0.083208924;61;0;0.168984638;11000;6;0;2;0;1
"86967";0;0.945746599;59;0;0.191961608;5000;5;0;0;0;0
"121864";0;0.235892222;27;1;0.102787456;1721;5;0;0;0;0
"7114";0;0;34;0;3196;0;12;0;2;0;2
"145952";0;0.279308828;46;0;0.599267049;6275;7;0;2;0;2
"130066";0;0.033081011;82;0;0.009229755;9100;8;0;0;0;0
"67791";0;0.463451218;63;0;0.192166608;8450;4;0;1;0;0
"28797";0;0.111346499;64;0;0.406067804;9261;10;0;3;0;0
"109621";0;0.03516906;60;0;0.228670797;9200;13;0;0;0;0
"118219";0;0.42477622;50;1;0.580278129;8700;12;0;2;0;2
"148398";0;0.017066978;67;0;0.165508047;10500;14;0;2;0;0
"39056";0;0.353327621;25;1;0.37183189;3116;6;0;1;0;1
"48095";0;0.438528339;41;0;0.416145964;4000;11;0;1;0;0
"49437";0;0.433987023;57;0;0.257610206;15833;7;0;1;0;2
"62593";1;0.869855602;48;1;0.386540161;21500;27;0;8;0;1
"62915";0;0.750439036;36;0;0.892375917;5862;7;0;2;0;2
"122211";0;0.006286177;40;0;0.001661743;5415;3;0;0;0;0
"101579";0;0.353191937;28;0;1305;0;7;0;0;0;0
"6006";0;0.962075848;69;0;0.004027618;3475;1;0;0;0;0
"34449";0;0.015023902;67;0;0.00465616;2791;5;0;0;0;0
"42318";0;0.9999999;39;0;0.223462756;6000;3;0;0;0;1
"44016";0;0.214719063;52;0;0.379113698;8416;4;0;2;0;2
"99777";0;0.475672809;55;0;0.258890263;13750;12;0;2;0;0
"26614";0;0.015481989;60;5;1.175824176;1000;13;0;1;0;0
"144680";0;0.232992807;44;0;0.338522427;3789;9;0;0;0;0
"64773";0;0.9999999;48;1;0.131073785;3333;2;0;0;0;2
"91048";0;0.094687633;39;0;0.049987503;4000;13;0;0;0;0
"5111";0;0.482038151;42;0;0.08432882;11300;4;0;0;0;4
"35318";0;0.148401342;43;0;0.785006693;3734;14;0;3;0;0
"132096";0;0.030792042;29;0;1.561199001;1200;13;0;2;0;0
"59684";0;0.491980832;44;1;0.106378724;5000;4;0;0;0;0
"21501";0;0.049662564;31;0;0.030372048;77274;6;0;1;0;0
"77714";0;0.984732824;35;0;0.370747064;8258;6;0;1;0;1
"16805";0;0.9999999;70;0;0.001749563;4000;0;0;0;0;1
"54495";0;0.008582206;53;0;1.544761905;1049;25;0;1;0;0
"84827";0;0.010202358;76;0;0.058756309;10500;13;0;0;0;0
"134199";0;0.071079499;47;0;0.297662756;11166;7;0;2;0;0
"89411";0;0.072554414;64;2;0.881631565;3750;24;0;1;0;1
"10948";0;0.691272715;43;0;0.303701702;3700;10;0;0;0;1
"22188";0;0.205773208;38;0;0.194296897;3576;7;0;0;0;3
"105283";0;0.14158695;32;0;0.024621922;8000;9;1;0;0;0
"70321";0;0.44725407;72;0;0.281457465;6476;4;0;0;0;0
"122428";0;0.411821894;34;0;0.229577042;10000;7;0;2;0;0
"102452";0;0.102766218;62;0;0.281800572;10840;13;0;2;0;1
"91393";0;0.9999999;29;0;0.051498847;1300;0;1;0;0;2
"85577";0;0.154256404;71;0;1.075584883;5000;21;0;2;0;0
"142673";0;0.026326417;55;0;0.314987621;5250;11;0;0;0;0
"64288";0;0.041691438;48;1;0.3898537;9500;8;0;1;0;1
"50161";0;0.030898455;53;0;0.274490467;6083;7;0;1;0;1
"10298";0;0.017115672;73;0;0.014794082;2500;4;0;0;0;0
"25298";0;0.254125681;24;0;93;0;2;0;0;0;1
"74498";1;0.755685941;35;1;0.483080513;2570;9;0;0;0;2
"10330";0;0;66;0;0.146713322;4000;8;0;0;0;0
"19527";0;0.013427612;46;0;0.173541193;9236;3;0;2;0;3
"128238";0;0.032829759;62;0;0.224867725;6425;11;0;3;0;0
"43576";0;0.690359744;42;0;0.292695526;9678;5;0;2;0;3
"49160";0;0;93;0;0;1900;2;0;0;0;0
"127368";0;0.046137905;79;0;0.342457193;8000;13;0;1;0;0
"119037";1;0.404830583;38;0;0.330815374;4500;16;0;0;0;2
"135967";0;0.043956044;22;0;0.001218027;820;2;0;0;0;0
"26374";0;0.046032153;69;0;0.410324424;4900;13;0;1;0;1
"22784";0;0.002817487;68;0;0.038784486;2500;8;0;0;0;0
"104481";0;0.194487516;59;0;0.289101557;7000;5;0;1;0;1
"104649";0;0;58;0;1443;0;8;0;1;0;0
"97389";0;1.043189369;24;0;0.056572379;600;1;0;0;0;0
"20237";0;1.01054101;56;0;0.838623276;7466;14;0;5;1;1
"86510";0;0.935258093;59;0;0.462995228;13200;14;0;2;0;1
"33163";0;0.052394761;38;0;0.379670895;5833;4;0;2;0;1
"109711";0;0.079820557;52;0;1.031455743;4100;22;0;2;0;0
"108261";0;0.001499925;63;0;0.112481253;6000;11;0;1;0;0
"13787";0;0.336146168;48;1;0.359528094;5000;14;0;1;0;1
"123774";0;0.417296032;38;0;0.668368432;4700;3;0;1;0;2
"80648";0;0.002815652;82;0;0.001029071;3886;5;0;0;0;0
"67890";0;0.086776255;56;1;0.308019674;28666;7;0;3;0;2
"29826";0;0.009818039;46;0;0.009086779;2200;7;0;0;0;0
"42152";0;0.9999999;46;0;0.00091832;19600;0;2;0;0;2
"19275";0;0.703571857;34;0;1.157667387;4166;5;0;2;0;2
"75786";0;0.005360962;43;0;0.418550992;6500;6;0;2;0;0
"55365";0;0.182188118;58;0;0.068934033;4380;5;0;0;0;0
"98342";0;0.981670485;47;0;0.143303478;4800;7;1;0;0;0
"136434";0;0;37;0;4.602179837;1100;7;0;2;0;2
"20597";0;0.931675402;37;1;0.271675475;7000;8;0;0;0;2
"146894";1;0.453943231;45;5;0.747024282;6300;16;0;2;2;3
"18944";0;0.9999999;30;1;0.066954644;4166;6;1;0;0;1
"37606";0;0.278965129;59;1;0.553711976;4700;5;0;1;0;0
"63716";0;0.392741603;35;0;0.086918731;2300;3;0;0;0;0
"55619";0;0.92378088;46;0;0.170805117;11960;9;0;0;0;1
"9992";0;0.054686996;39;1;0.170529952;11000;11;0;2;0;1
"75656";0;0.013173337;46;0;0.382373947;7000;9;0;1;0;2
"130067";0;0;48;0;0.248750481;2600;7;0;0;0;2
"43430";1;0.83006294;41;0;0.268514312;2200;8;2;0;0;0
"58278";0;0.028670371;55;0;0.403817025;3300;13;0;1;0;1
"8109";0;0.395596256;52;0;0.588835659;4800;9;0;2;0;1
"36627";1;0.533291945;60;1;1.690344646;3800;17;0;2;0;0
"75217";0;0.344721128;49;0;0.348680117;11250;9;0;2;0;2
"108779";0;0.45275453;34;0;1.210315874;2500;9;0;1;0;0
"42869";0;0.073679943;49;0;0.335686053;10625;12;0;1;0;2
"30345";1;0.198336837;47;2;0.534176397;21666;14;0;4;0;4
"50491";0;0.024101681;40;0;0.780209324;4203;7;0;2;0;1
"74270";0;0;40;0;0.387416332;3734;8;0;1;0;1
"113127";0;0.12403414;33;0;0.448759854;5200;15;1;1;0;2
"105493";0;0.07370896;44;0;0.283704188;9167;11;0;2;0;2
"107608";0;0.744353643;54;1;0.310362542;13625;12;0;2;0;1
"10792";0;0.551091455;49;0;0.448387551;7100;14;0;2;0;3
"138037";0;0.283578208;67;0;0.138417058;8300;10;0;1;0;0
"9878";0;0.518365071;38;0;0.301521438;3614;7;0;0;0;2
"39736";0;0;71;0;0.003810805;4460;7;0;0;0;0
"51075";0;0;28;0;0.991440799;700;6;0;0;0;0
"130932";0;0.006347734;46;0;0.002183406;5495;8;0;0;0;0
"101191";0;0.838205338;77;0;0.206149488;12000;20;0;2;0;1
"128273";0;1.588741126;38;0;0.106789321;10000;7;0;0;0;4
"44825";0;0.110744463;53;0;1.281081081;1479;6;0;2;0;0
"63986";0;0.435599299;64;0;0.234642255;4150;13;0;0;0;0
"102942";0;0.104689298;54;0;0.036960647;12120;24;0;0;1;0
"90694";1;0.257380114;60;1;0.408383003;5200;5;0;1;0;0
"38831";0;0.028731418;77;0;0.003998667;3000;2;0;0;0;0
"136798";0;0.01441889;47;0;0.179834814;6416;3;0;1;0;0
"12229";0;0;66;0;0.170689901;7000;5;0;2;0;2
"35228";0;0.9999999;77;0;0;435;1;0;0;0;0
"111785";1;0.696521391;26;2;0.475873544;600;5;0;0;0;0
"73524";1;0.815478832;50;2;0.567056446;6926;13;0;1;0;2
"127949";0;0.817530412;48;0;0.055576703;2626;2;0;0;0;0
"131192";0;0.133592557;33;0;0.089370177;4016;5;0;0;0;2
"76514";0;0.012922083;43;0;0.286339208;8000;7;0;1;0;2
"93000";0;0.01857552;49;0;0.410764873;6000;13;0;1;0;0
"94834";0;0.153449387;35;0;0.351520572;3353;7;0;0;0;2
"93205";0;0.701759462;34;0;0.171770972;6758;7;0;0;0;0
"100007";0;0.189259178;52;0;0.748625687;2000;15;0;0;0;3
"11631";0;0.009308922;69;0;0.002749656;8000;4;0;0;0;0
"39998";0;0.159300323;54;0;0.133413752;8289;11;0;1;0;0
"79462";0;0.438179776;39;0;0.152596185;40000;11;0;4;0;0
"37153";0;0.407800535;49;0;0.558088382;5000;9;0;1;0;2
"87781";0;0.489945396;54;0;0.246198709;4800;6;0;0;0;0
"81043";0;0.370465181;52;0;0.307668641;13000;3;0;2;0;3
"3542";0;0.166975688;54;0;0.344813655;9900;6;0;2;0;2
"18752";1;0.025491163;41;0;0.16765286;1520;7;0;0;0;0
"129928";0;0;52;0;0.212198582;7049;4;0;1;0;3
"57934";0;0.022515919;63;0;0.0059988;5000;6;0;0;0;0
"149074";0;0.436735636;44;0;0.337155046;7500;5;0;2;0;2
"124060";0;0.522477522;22;0;36;0;1;0;0;0;0
"65821";0;0.51774405;72;0;0.499364368;16518;16;0;2;0;3
"35708";1;0.548682969;62;0;0.574062165;4664;12;0;2;0;0
"130541";0;0.04719764;52;0;0.231815933;12125;11;0;1;0;0
"147705";0;0.771990001;46;0;0.543758967;3484;8;0;0;0;0
"107890";0;0.100770128;66;0;0.15900976;4200;7;0;1;0;0
"94329";0;0.9999999;79;0;0;2283;2;0;0;0;1
"4620";0;0.481959568;55;1;0.478041757;8333;9;0;2;0;1
"17193";0;0;57;0;0.352464754;10000;5;0;2;0;0
"23775";0;0.019797489;83;0;0.079429735;5400;19;0;1;0;1
"83205";0;0;51;1;0.383154211;4000;13;1;2;0;0
"92348";0;1.008330556;32;2;0.309784058;3750;5;0;0;0;2
"83642";0;0.13775449;53;0;0.12750196;62500;11;0;1;0;1
"65256";1;0.948207171;27;0;0.005828476;1200;1;0;0;0;0
"20619";0;0.019289131;48;0;0.36652432;9600;20;0;2;0;1
"100847";0;0;57;0;0.145356662;7429;10;0;1;0;2
"42097";0;0.400644885;47;0;0.101305042;10650;10;0;1;1;1
"140745";0;0.012137094;48;0;0.251710884;10666;9;0;1;0;0
"103376";0;0.459454755;58;0;0.31779192;7227;9;0;1;0;0
"117232";0;0.049372815;54;0;0.5484394;4933;18;0;2;0;0
"74903";0;0.114428963;77;0;0.038687561;4083;2;0;0;0;1
"57411";0;0.062679063;77;0;0.149713967;7166;5;0;1;0;0
"5191";0;0.142704621;55;0;0.4306894;5395;20;0;2;0;0
"117657";0;0.199319909;48;0;0.373773926;10500;18;0;2;0;0
"67989";0;0.046376502;63;2;1.496601359;2500;20;0;1;0;0
"120407";0;0.004800768;62;0;0.631273745;5000;19;0;2;0;0
"103399";1;0.961012996;52;3;0.786340563;4333;6;4;2;0;2
"28722";0;0.054857177;91;0;0.013623297;8000;5;0;0;0;1
"82115";0;0.045178057;35;1;0.086289042;17000;9;0;0;0;0
"99601";0;0.036497972;48;0;0.199963643;5500;3;0;2;0;0
"140050";0;0.006546448;76;2;0.444543351;5616;30;0;2;1;0
"19652";0;0.18757324;63;0;0.274110366;3877;15;0;0;0;0
"125841";0;0.274461408;37;0;0.833974135;2860;8;0;1;0;3
"54945";0;0.178849145;30;0;1.904063957;1500;12;0;1;0;0
"11502";0;0.9999999;29;0;0.023809524;2099;1;2;0;1;0
"84423";0;0.9999999;38;0;1220;0;4;0;1;0;2
"148717";1;0.858261911;55;3;0.285652736;6962;9;9;1;1;0
"15925";1;0.836383837;37;1;0.486338798;8600;6;0;2;0;1
"40466";0;0.206079392;71;1;0.346367474;4500;6;0;2;0;1
"96079";0;0.011940474;35;0;0.0099998;50000;7;0;0;0;1
"109064";0;0.006044347;84;0;0.257755474;4383;22;0;1;0;0
"43609";1;0.9999999;41;98;0;2300;0;98;0;98;1
"88179";0;0.029998723;28;0;0.202872205;5500;8;0;1;0;0
"98554";0;0.028987217;58;0;0.007220217;3600;7;0;0;0;2
"125389";0;0.965501917;42;0;0.372192245;7968;5;0;2;0;0
"132945";1;0.9999999;33;2;0.455107234;2750;5;2;0;0;2
"13096";0;0.403982436;59;0;0.360292623;4920;7;0;1;0;0
"137838";1;0.946107784;55;0;0.846846847;4217;23;0;1;0;0
"6848";0;0.159371985;62;0;0.227208976;1425;9;0;0;0;0
"9316";0;0.178752798;60;0;0.777671528;4182;13;0;1;0;0
"63587";0;0.15190276;48;0;0.238402987;6962;6;0;1;0;0
"126319";1;0.361190717;40;0;0.772556861;4000;19;0;2;0;3
"30831";0;0.673817955;35;0;250;1;4;0;0;0;1
"72479";0;0.328597382;44;0;0.546872656;6666;8;0;2;0;2
"1496";0;0;87;0;0.01910828;6436;8;0;0;0;0
"12342";0;0.039843121;74;0;0.167460738;5666;3;0;0;0;0
"99062";0;0;50;0;0.541984733;2750;6;0;1;0;0
"115604";0;0;63;0;0.405622111;10600;18;0;2;0;0
"105382";0;0.953328965;45;0;0.468609272;3774;11;0;2;0;4
"113059";0;0.004232819;60;2;0.184817932;12000;12;0;5;0;0
"130500";0;0.013319734;78;0;0.003090939;6146;3;0;0;0;0
"143131";0;0.841196255;47;1;0.065797798;7902;7;0;0;0;2
"41274";0;0.113819045;78;0;0.105671965;5535;15;0;0;0;0
"45039";0;0.147613561;67;0;0.363732147;34167;16;0;4;0;0
"63723";0;0.020028947;54;0;0.329627669;5666;14;0;1;0;0
"125939";0;0;43;0;0.240303878;2500;4;0;1;0;0
"62668";0;0.401955338;47;0;0.171845447;3700;8;0;0;0;0
"100096";1;0.715222349;50;2;1.094740839;5266;7;0;1;0;4
"59677";0;0.221808744;51;1;0.256151639;11500;19;0;2;0;0
"86338";0;0.9999999;30;0;0.041422783;2220;0;0;0;0;0
"106503";0;0.724693365;37;0;0.325134973;5000;10;0;0;0;0
"82088";0;0.052424827;62;0;0.503259452;2300;4;0;2;0;0
"109929";0;0.015416617;35;0;0.141309782;6000;14;0;0;0;0
"139846";0;0.139827433;75;0;0.194361128;1666;5;0;0;0;0
"106962";0;0.342764815;52;1;0.302979801;15000;15;0;2;0;1
"106486";0;0.702259548;38;0;0.611694153;2000;7;0;1;0;0
"36932";0;1.037380469;57;1;0.048780488;2500;6;3;0;1;1
"74969";0;0.00945116;69;0;0.578985639;5500;11;0;2;0;0
"51005";0;0.9999999;22;0;0.119960013;3000;1;1;0;0;0
"129516";0;0.477746202;47;2;13.09561753;250;14;0;2;0;0
"102964";0;0.606769449;42;1;0.532827546;6853;16;0;2;0;1
"138813";0;0.384161288;51;0;0.458933867;14500;12;0;3;0;2
"39375";0;0;75;0;0;1700;4;0;0;0;0
"121213";0;0.18482529;66;0;0.546700943;3500;10;0;1;0;0
